IMO,name,on_corridor,in_register,crossings
9837028,Garda Maritim Ii,False,True,0
9837054,Garda Maritim I,False,True,0
9838979,Jambo X,False,True,0
9842413,Ihan Batak,False,True,0
9843613,Sumber Berkat Ii,False,True,0
9848431,Drajat Paciran,False,True,0
9854686,Jws,False,True,0
9855939,Munic Xi,False,True,0
9856335,Munggiyango Hulalo,False,True,0
9869069,Satria 99,False,True,0
9869502,Dln Oasis,False,True,0
9872729,Pora Pora,False,True,0
9873503,Surya 777,False,True,0
9879985,Bahtera Nusantara 02,False,True,0
9880207,Lorry Amar,False,True,0
9881811,Parama Kalyani,False,True,0
9884382,Wira Ono Niha,False,True,0
9891165,Bahtera Nusantara 01,False,True,0
9891842,Roswin,False,True,0
9895056,Dln Batu Layar,False,True,0
9901104,New Rose,False,True,0
9901257,Cantika Lestari 99B,False,True,0
9908736,Kaldera Toba,False,True,0
9921051,Wira Nauli,False,True,0
9921520,Aceh Hebat 2,False,True,0
9925318,Takabonerate,False,True,0
9926817,Aceh Hebat 3,False,True,0
9929077,Pangkilang,False,True,0
9929089,Opudi,False,True,0
9931898,Surya Kayangan,False,True,0
9939711,Surya Ayla,False,True,0
9950662,Kirana Vii,False,True,0
9972062,Bakkat Menuang,False,True,0
9979400,Dln Mandalika,False,True,0
9979541,Dln Nusantara,False,True,0
