imo,name,gt,age,p_mcr_kw,power_method,fuel,in_inventory
9039573,Serasi V,10226.0,35.0,6783.079000381041,gt_regression,residual,True
8981573,Sms Swakarya,785.0,29.0,264.358435121856,gt_regression,distillate,True
8905165,Swarna Bahtera,2003.0,37.0,1116.8154776318738,gt_regression,residual,True
9403736,Trans Jawa 9,834.0,20.0,696.2541861333098,gt_regression,distillate,True
8736899,Tri Sakti Adinda,1108.0,20.0,322.5326840412385,gt_regression,distillate,True
7397294,Trisna Dwitya,876.0,51.0,281.6338837107289,gt_regression,distillate,True
9707302,Wira Prime,1568.0,13.0,1002.3236690013565,gt_regression,residual,True
1047639,Kmp Eirene,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
1071484,Kmp Nitya,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
1091666,Munic 3,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
1105285,Keisha,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
1105297,Sms Sagita 8,15000.0,26.0,3750.0,gt_regression,residual,False
1112719,Wira Qaila,15000.0,26.0,3750.0,gt_regression,residual,False
1113335,Karya Pacific 2280,1029.0,26.0,786.016072530529,gt_regression,distillate,False
1114389,Shanaya,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
1146552,Katya,15000.0,26.0,3750.0,gt_regression,residual,False
1153361,Putra Wajo,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
1153373,New Zhima,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
6725523,Titian Murni,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
7125952,Titian Nusantara,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
7332660,Safira Nusantara,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
7916040,Layar Sentosa,1029.0,26.0,786.016072530529,gt_regression,distillate,False
8204432,Salvatore,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
8405206,Tribuana 1,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
8503694,Jatra Iii,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
8613580,Elysia,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
8679675,Raputra Jaya 888,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
8718562,Sms Mulawarman,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
8807076,Raja Basa I,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
9765665,Legundi,3500.0,26.0,1593.1962935561216,gt_regression,residual,False
