imo,name,p_mcr_kw,fuel_t_yr,co2_t_yr
7206859,Nusa Bahagia,1932.3414205038637,1540.3270488929124,4796.578430252529
9174751,Dharma Kartika VII,4020.5192091251174,1533.0821028392618,4774.017668241461
9764611,Sebuku,1892.5857212820347,1532.515101679682,4772.252026630529
9871646,Raputra Jaya 2888,1883.6917320069763,1530.7674434547794,4766.809818918183
9115066,Jambo XIV,1801.395366888419,1514.5963064170505,4716.452898182695
7818638,Jatra II,1758.8097990764652,1506.228293420067,4690.394905710089
8904563,Dharma Ferry VI,1821.953125719247,1451.289053434075,4652.832705309645
7116054,Farina Nusantara,3207.756643560898,1486.8937434105633,4630.187116980494
8612885,Menggala,1648.2717837755467,1484.50770599516,4622.756996468928
8518039,Hm Baruna I,1627.1982992502337,1480.3667915619365,4609.86218892387
9040467,Dharma Kencana II,1623.3932815289043,1479.6191101435172,4607.533908986912
9819478,Wira Kencana,1622.8457645310725,1479.511523710147,4607.198884833398
8611568,Labitra Karina,1593.3833189441282,1473.7221884902167,4589.1708949585345
9804291,Wira Victoria,1493.140510456227,1454.0245968557708,4527.83259460887
8602048,Caitlyn,1483.327077120777,1452.096268975802,4521.827781590648
9276925,Harmoni Mas 89,2368.180417859744,1446.153860216742,4503.323120714935
7214650,Star Belitung,1386.2789339827455,1433.0264252508532,4462.444288231157
8666147,Portlink V,1420.3599831382203,1376.0137745274726,4411.500161135077
8904226,Dharma Kencana III,1252.4643451260122,1406.7320190406624,4380.5635072926225
8702501,Ferrindo 5,1239.4474875664953,1404.1742221429224,4372.59852775306
6911691,Prima Nusantara,1237.8917775495636,1403.8685269905482,4371.6465930485665
9939711,Surya Ayla,1287.293303059568,1351.0715372379623,4331.535348384907
9848431,Drajat Paciran,1172.176294760723,1390.9555134431344,4331.4354688619205
9931898,Surya Kayangan,1277.4374726351816,1349.224144179197,4325.612606238506
9772424,Agung Samudra XVIII,1121.9773415369991,1381.0914793443999,4300.718866678461
8910990,Dharma Ferry IX,1119.2723073088955,1380.559943363055,4299.0636636325535
9291054,Mulya Sentosa II,1080.8606754764064,1373.0121037797257,4275.559691170066
8815346,Dharma Kencana IX,940.6034090381042,1345.4517191522452,4189.736653440092
9085754,Bontang Ekspress II,1010.6133443197515,1299.2101908809218,4165.267871964235
9820099,Portlink VIII,888.5915684276281,1335.231454856431,4157.910750422926
9037941,Dharma Ferry VIII,865.3061905070612,1330.6559060240336,4143.66249135884
9607849,Kalibodri,923.4335646553684,1282.8690696479355,4112.878237291281
7128095,Dharma Ferry 2,687.384856949749,1295.6945773827772,4034.7929139699677
8703309,Nusa Jaya,1965.5139698715504,1242.7945480037554,3870.062222483694
8672861,Salvino,1785.9700355114785,1207.51438025094,3760.1997801014268
8905165,Swarna Bahtera,1116.8154776318738,1016.1588186799509,3164.3185613693668
7314199,Roditha,1452.8000000000002,563.0461001562071,1805.1257971008001
9972062,Bakkat Menuang,1111.2861263167051,522.417257972266,1626.8073413256363
9172791,Portlink VII,1642.5829120728013,472.01071235973984,1513.266343825326
8839316,Rhama Giri Nusa,849.8310853989905,450.024615459305,1442.7789171625318
8920048,Marina Segunda,809.2506729806099,442.41815623715274,1418.3926088963117
9072575,Raja Dilaut,1416.024901805913,429.54430643020135,1377.1190464152255
7204655,Prathita IV,715.955145645319,424.9306892058012,1362.3277895937986
9837028,Garda Maritim II,626.7136862147028,408.2031233278144,1308.699213388973
8874768,Pelangi Nusantara,609.0993493633223,404.9014630685758,1298.114090597854
9837054,Garda Maritim I,606.242134728706,404.365902059903,1296.397082004049
6804472,Citra Mandala Sakti,576.0217778968703,398.70134868991,1278.2365238998514
9152155,Sindu Dwitama,1183.8529416900785,386.0256125110545,1237.5981137104407
8903296,Gerbang Samudra 3,1166.9819878119715,382.8632931785258,1227.4597179303537
8840860,Tiga Anugrah,474.9520133212255,379.75666584856566,1217.4998707105015
9869069,Satria 99,466.6057087778768,378.192220802761,1212.4842598936518
9950662,Kirana VII,1130.9978688145475,376.11837075198576,1205.8354966308664
7640029,Salindo Mutiara 1,1127.559755511305,375.4739251418074,1203.7694040046345
8890841,Naraya,1106.3190602643895,371.4925343027964,1191.0050649747652
1022548,Wira Harmoni,1104.9727475608724,371.24017923617,1190.196014631161
9879985,Bahtera Nusantara 02,1103.0542710261282,370.880576840321,1189.0431293500692
9881811,Parama Kalyani,1068.2579011875068,364.3582880688911,1168.132671548865
7853092,Satria Nusantara,377.69701392769554,361.52702886483075,1159.0556545406473
8748103,Bnr,1044.8304517057616,359.96700842085056,1154.0542289972468
9855939,Munic XI,1043.3982472406049,359.6985536612073,1153.1935630378307
8210950,Munic III,1036.8531604212467,358.47173182697816,1149.260372237292
9707302,Wira Prime,1002.3236690013565,368.5970172468515,1147.8111117066956
9856335,Munggiyango Hulalo,1026.0979103468992,356.4557500702841,1142.7971347253308
9891165,Bahtera Nusantara 01,1008.5811598269981,353.1723815534602,1132.2706552603934
8712233,Wicitra Dharma II,1004.1085080947591,352.33402035926105,1129.582869271791
8131051,El Saddai,980.3417330275352,347.8791369655916,1115.3005131116868
9884382,Wira Ono Niha,974.935443659981,346.8657731980309,1112.0516688728871
8718366,Swarna Cakra,941.5431792754284,356.6537239171611,1110.6196962780396
9901104,New Rose,936.9265274120309,355.74655736331704,1107.7947796293693
9838979,Jambo X,958.0583592551034,343.7023047494851,1101.9095890268493
8824799,Ariwangan,251.20000000000002,337.8162205998753,1083.0388032432002
8873582,Mutis,247.16446806792626,337.0597938596899,1080.6136991141657
9901257,Cantika Lestari 99B,903.5411596317167,333.4835112200878,1069.1481369716014
9843613,Sumber Berkat II,873.484793595315,327.84969655440887,1051.0861271534347
8524272,Liputan XII,867.5870742023037,326.74421833491397,1047.5419639817342
9873503,Surya 777,857.2900249250115,324.8141224889502,1041.3540766995743
9921520,Aceh Hebat 2,853.1457585190009,324.03731438019923,1038.8636299029188
8621733,Putri Gianyar,851.705556327072,323.76736051350076,1037.9981578062834
8214891,Mishima,846.6503059537627,322.8197960721663,1034.960266207365
8628602,Gerbang Samudra 2,836.4378235045401,320.9055515714926,1028.8231983382052
9739616,Samudera Utama,836.4188529589549,320.90199570123843,1028.8117982181705
8349244,Jax,832.1987409342814,320.1109709650272,1026.2757729138773
8663092,Trimas Ellisa,831.8643500356624,320.0482921852164,1026.0748247458037
9829851,Dalente Woba,820.7505326054492,317.96509997381656,1019.396110516056
8359005,Gerbang Samudra 5,818.1667344267476,317.4807885951658,1017.8434082361015
8673580,Karya Maritim III,816.8745821501822,317.2385854480126,1017.0669049463283
8689096,Sirung,814.1752014497107,316.7326090914515,1015.4447447471933
9767285,Erana,814.1752014497107,316.7326090914515,1015.4447447471933
9725031,Ranaka,814.1752014497107,316.7326090914515,1015.4447447471933
8670590,Wayangan,814.1752014497107,316.7326090914515,1015.4447447471933
9768966,Ilelabalekan,814.1752014497107,316.7326090914515,1015.4447447471933
8683561,Moinit,814.1752014497107,316.7326090914515,1015.4447447471933
9740196,Inerie II,814.1752014497107,316.7326090914515,1015.4447447471933
9690406,Sardinela,814.1752014497107,316.7326090914515,1015.4447447471933
9742285,Kalabia,813.9814078867819,316.69628410739915,1015.3282868483217
9926817,Aceh Hebat 3,812.1500592048915,316.35301309953644,1014.2277599971138
8652108,Karya Maritim I,809.2956491294228,315.81797778204134,1012.5124367692245
9034676,Marina Quinta,808.9136607213271,315.74637724679883,1012.2828854532371
9034664,Marina Tertiera,808.9136607213271,315.74637724679883,1012.2828854532371
8820808,Mutiara Pertiwi I,796.8000000000001,313.4757727650655,1005.0033274848001
9037575,Putri Yasmin,793.9574552629066,312.94296150610325,1003.2951345885671
9828833,Munic V,789.4312860847115,312.0945689138459,1000.5751879377899
9880207,Lorry Amar,789.0976419355138,312.03203010597434,1000.3746885197537
8652536,Tanjung Tungkor,772.0974304584616,308.8454825165863,990.1586169481757
9287015,Sindu Tritama,760.885573641819,306.7439136414072,983.4209871343513
8738495,Gunung Bintan,754.0043180308336,305.4540797761787,979.2857797624288
7908641,Dharma Kosala,740.2361527465877,302.87335223899294,971.0119672782113
9125437,Dharma Kartika I,740.0919493740969,302.8463225217678,970.9253100047875
9549475,Brr,735.7354150700596,302.0297265692201,968.3073033809195
8748098,Bnr II,732.1957143414502,301.36623924501055,966.1801630195039
8774413,Watunapato,713.1242856220721,297.7914592904227,954.7194184850953
8694936,Tunu Pratama Jaya 2888,697.0420376655014,294.77697629254203,945.0549859938898
9403736,Trans Jawa 9,696.2541861333098,294.62930010603753,944.5815361399563
8708751,Bintang Balikpapan,695.1186179180702,294.41644733277985,943.8991301488923
8699613,Mutiara Indonesia,688.5135459774924,293.1783817888074,939.9298920149166
9925318,Takabonerate,676.2893974584883,290.887067292624,932.5839377401526
8904939,Dharma Kartika VIII,662.182191474457,288.24278940925205,924.1063828460622
9639139,Port Link II,649.9667422359637,285.9531055205101,916.7656562987554
8742862,Awu Awu,649.2565630751859,285.819988371005,916.3388827174421
8806307,Manggani,623.999221912451,294.25671716453337,916.3154172503569
8568137,Wira Mutiara,635.3000449084269,283.2039556598491,907.9518818454762
9078775,Swarna Putri,610.6904275309664,278.59108851782776,893.1630297881558
7234179,Wicitra Dharma,595.0005414393676,275.6501504730014,883.7343824164425
9408061,Nusa Jaya Abadi,591.6424345350656,275.02070139377935,881.7163686684565
8662268,Arar,585.1015708140131,273.7946711440398,877.7857156877916
8659364,Tanjung Api,584.5540811079838,273.6920487734112,877.4567083675563
8734487,Julung Julung,575.7425152967274,272.04039439061165,872.1615044163009
8348836,Tranship II,575.3349302082821,271.96399597152083,871.9165710846958
8673231,Teluk Singkil,572.9685849337363,271.5204443227404,870.4945444987056
8997493,Trisila Bhakti I,567.3909808446285,270.4749690421123,867.1427507490121
8661159,Siginjai,567.2424110234292,270.4471208705624,867.053469511023
8815358,Dharma Kartika III,543.1749437766675,278.3748434532664,866.8592625134715
9792565,Tanjung Sole,566.211961572881,270.2539717313847,866.4342333708194
9664495,Samudera Indonesia,554.4072666055212,268.04128029854706,859.3403446371419
9641039,Napan Wainami,553.2677235395487,267.827682472733,858.655550007582
9828845,Lakaan,553.1764135592424,267.81056717990117,858.6006783787632
9664287,Marsela,549.4337532403478,267.10903677640175,856.351571905144
8662567,Sembilang,549.4337532403478,267.10903677640175,856.351571905144
8746478,Senangin,549.4337532403478,267.10903677640175,856.351571905144
9049413,Ambu Ambu,549.4337532403478,267.10903677640175,856.351571905144
9664201,Badaleon,549.4337532403478,267.10903677640175,856.351571905144
9003782,Trima Jaya 9,548.1621913557836,266.870693126178,855.5874421625268
8740395,Temi,547.9694927201158,266.8345733770917,855.4716422469561
9613719,Bahteramas,547.72875927531,266.78944990440635,855.3269763935268
8677055,Maming,547.72875927531,266.78944990440635,855.3269763935268
9842413,Ihan Batak,545.2422011374148,266.3233653588771,853.83270934056
8731150,Teluk Sinabang,545.212564048916,266.31781013428235,853.8148992905092
8504703,Jemla Fajar,541.590353393593,265.6388570137547,851.6381755860975
9627447,Lome,538.2936597776016,265.0209193422634,849.6570674112966
8736124,Papua Enam,530.0592607833638,263.47745005656856,844.7087048813588
9210593,Bontoharu,513.053484109303,260.2898593175035,834.4892889719162
9641766,Labuhan Haji,509.05823371918984,259.54098301577034,832.0883915485597
9068213,Belanak,502.81202185952964,258.3701827953687,828.3348060419521
8925153,Dharma Ferry 3,500.761823992942,257.9858903365154,827.1027644188683
7020700,Nusa Sakti,495.17624449699355,256.9389201325167,823.7461779448486
9872729,Pora Pora,495.1281202448945,256.92989964358196,823.7172582573237
9812391,Bamega Jaya,492.52175999328927,256.44135919289164,822.1509975724106
9792412,Ngafi,492.52175999328927,256.44135919289164,822.1509975724106
8737958,Pulau Sabu,484.5192214648665,254.94135021411205,817.3419687864432
7703716,Mulya Sentosa,855.6278695689941,254.16444932382151,814.8512245321717
9210581,Madani,480.0801906508532,254.10929098010152,814.6743868822055
9686041,Manta II,478.1402664891745,253.7456684057978,813.5086129089877
8998772,Muria,467.98371060798485,251.8419068729853,807.4051534347909
8736904,Egron,446.5620775820023,247.82660075918542,794.5320820339484
8732312,Bobara,439.5559111059582,246.51335339604373,790.3218109877162
8676403,Lohoraung,439.5559111059582,246.51335339604373,790.3218109877162
8658762,Muyu,439.5559111059582,246.51335339604373,790.3218109877162
9612301,Berkat Porosida,439.5559111059582,246.51335339604373,790.3218109877162
8994506,Gutila,431.82963041869596,245.06512664120814,785.6787960117133
9618472,Tanjung Madlahar,426.90571285217476,244.14217943710287,782.7198272753518
9049255,Porodisa,426.08669354592115,243.98866111178512,782.2276475243831
9929077,Pangkilang,424.59795700348906,243.70960988663273,781.3330092965446
9929089,Opudi,424.59795700348906,243.70960988663273,781.3330092965446
9162851,Mutiara Pertiwi III,408.39546784581114,240.67258868032735,771.5963193091295
9029865,Papua Lima,404.0581151555182,239.85958816099645,768.9898396441546
9049401,Manusela,404.0581151555182,239.85958816099645,768.9898396441546
9049566,Kasuari Pasifik I,404.0581151555182,239.85958816099645,768.9898396441546
9028419,Kie Raha I,404.0581151555182,239.85958816099645,768.9898396441546
8892837,Dingkis,401.3893933333649,239.35935855499363,767.3861035273096
8824189,Nusa Bhakti,398.7812682847148,238.87048730784377,765.8187823089471
8873673,Teluk Cendrawasih II,396.50292763304134,238.44343139026327,764.449641037184
8873661,Teluk Cenderawasih I,396.50292763304134,238.44343139026327,764.449641037184
9080261,Ulin Ferry,390.40000000000003,237.29948860087336,760.7821604544
8864012,Dharma Badra,382.40000000000003,235.79995544803492,755.9746571664
9908736,Kaldera Toba,379.19044299114535,235.19835080544715,754.0459126822635
9891842,Roswin,377.3031571276812,234.8445948403036,752.9117710580134
9613537,Cakalang II,374.1471273916802,234.25302343774402,751.0151931414073
8743103,Masirei,373.68546678411974,234.1664890144444,750.7377637803088
9816983,Lompa,373.3026903358251,234.09474076765147,750.5077389010906
8735364,Bukit Patung,360.13904664733946,231.6273257522719,742.5972063617837
8731148,Bawal,358.2481222827671,231.27288778049862,741.4608782242785
8677067,Teluk Tolo,357.7644196849404,231.1822217703042,741.1702029955953
9821067,Kokonao,357.68395360228084,231.16713907547586,741.1218478759756
9004023,Jembatan Kapuas,351.8936052371481,230.08178665797584,737.6422080254705
8994726,Benua Raya,336.8282203735821,227.25790615007736,728.588847117148
8889000,Pbk Muryati,336.59512078641353,227.21421358021837,728.4487687381801
8992821,Tuna,334.20260260927904,226.76575603954564,727.0110138627833
9027386,Tande Mand,325.5538184648047,225.14461371999778,721.8136315863129
9482328,Tri Sakti Elfina,325.32477000662254,225.1016805004165,721.6759876843353
9672868,Kundur,324.8636378555668,225.015245131873,721.3988758927849
8736899,Tri Sakti Adinda,322.5326840412385,224.57832731658297,719.998117376965
8741973,Trisila Bhakti II,319.9810962820022,224.10005351191398,718.4647715591963
8872435,Danau Rana,316.46881932682714,223.44170654488457,716.3541111828999
8873556,Papuyu,316.21715424517146,223.39453402821528,716.2028760944581
8652005,Semah,315.95798259927767,223.34595446880354,716.0471300269842
8525329,Mamberamo Foja,315.840416523764,223.32391769031838,715.9764801151607
9029152,Tasik Gemilang,315.6310566524894,223.28467493183706,715.8506678314697
9640190,Quicksilver IX,308.8,222.0042504419214,711.7456269168
8626628,Adhi Swadarma III,300.1272949499329,220.37862434850078,706.5338696612935
8785307,Sulthan Murhum,297.0525480013348,219.80228872524933,704.6861376531493
8957986,Kormo Molin,289.76670964594786,218.43661920523377,700.3078011719795
8738512,Lokongbanua,287.6645019842087,218.04257794486767,699.0445048912458
8668846,Gambolo,287.53812548436525,218.0188897259608,698.9685604614303
8736112,Dolosi,287.53812548436525,218.0188897259608,698.9685604614303
8738419,Sangke Palangga,286.64584180907633,217.85163860685677,698.4323533735828
8647270,Gorango,286.64584180907633,217.85163860685677,698.4323533735828
8650564,Menumbing Raya,286.64584180907633,217.85163860685677,698.4323533735828
7397294,Trisna Dwitya,281.6338837107289,216.91218894071812,695.4204777439423
9080223,Inerie,280.0,216.6059310917031,694.4386150800001
8713031,Madidihang,276.70533519738314,215.98837370432634,692.4587260960702
8991152,Belida,275.64960139986846,215.79048522558315,691.8242956332195
8994520,Gorare,274.8552755995938,215.64159549162483,691.3469551461492
8872382,Kambaniru,273.36099112698264,215.3615043533183,690.4489829567385
8998851,Namparnos,267.2,214.20667804716157,686.7466098192
8981573,Sms Swakarya,264.358435121856,213.67405045457178,685.0390057573571
8872356,Kalebi,262.5285856319798,213.33106045772504,683.9393798274665
8103975,Dharma Kartika,258.34673634458744,212.54720775189776,681.4263480525842
8873570,Poncan Moale,247.16446806792626,210.4511850012994,674.7064991141658
9364241,Samandar,241.67738958851533,209.42267798978654,671.4091056352556
8997479,Nusa Makmur,238.0614261766326,208.74489586284042,669.2361361362664
8874744,Goropa,237.78816340664125,208.69367503996057,669.0719221781136
8898166,Inelika,237.75320612575,208.68712258975688,669.0509150227606
8994544,Barau,237.71824627475402,208.68056965780858,669.0299063229343
9027398,Tanjung Burang,237.61335129357485,208.660907970078,668.96687095207
8874550,Rokatenda,237.61335129357485,208.660907970078,668.96687095207
8872679,Baronang,237.5783811545955,208.65435310973314,668.9458560698044
9023419,Primas I,235.20000000000002,208.2085454358079,667.5165966672001
8713017,Kerapu II,226.75665001880313,206.62591003358008,662.4426675676577
8713029,Kerapu III,226.71788654161026,206.6186441436838,662.4193731246503
8734499,Lobster,216.03164949989878,204.61559830329176,655.9976081603534
8676192,Tarusi,215.36126356805133,204.48994006204154,655.5947478389052
9614646,Manta,215.36126356805133,204.48994006204154,655.5947478389052
8943064,Ile Mandiri,205.5009349627381,202.64170385684798,649.6693025650546
5286893,Bahari Nusantara,214.15701702067884,200.29882456696797,642.1580315616993
9210608,Pulau Sagori,189.30435719581118,199.6057906913439,639.9361649564486
9097939,Pulo Tello,187.5,199.26757901200872,638.8518583125
8999142,Pulau Rubiah,183.37866973694668,198.49507009160314,636.3751947136797
9068952,Semumu,183.37866973694668,198.49507009160314,636.3751947136797
8895487,Nuku,182.69885905023438,198.3676452588058,635.9666706997314
8976449,Saluang,182.4,198.31162662707425,635.7870749664
8740668,Tuna Tomini,179.15867881617376,197.70406805530615,633.8392421853115
7851721,Satya Dharma,176.75288006693413,197.25312118236337,632.393506510657
8999817,Ocean Star II,174.4,196.8120934742358,630.9795716784
8314706,Nusa Dua,164.22008936956198,194.90395428882653,624.8620774499778
9174749,Swarna Bengawan,156.16637769958805,193.3943533322606,620.0222967832275
9161223,Sri Gemilang,150.0,192.23851735807858,616.31668665
9027439,Terubuk I,150.0,192.23851735807858,616.31668665
8994518,Gunung Palong,150.0,192.23851735807858,616.31668665
8329488,Mujair,150.0,192.23851735807858,616.31668665
9130315,Permata Lestari I,150.0,192.23851735807858,616.31668665
8825327,Komodo,150.0,192.23851735807858,616.31668665
8996542,Lemuru,150.0,192.23851735807858,616.31668665
8892588,Silok,150.0,192.23851735807858,616.31668665
9049384,Simeulue,150.0,192.23851735807858,616.31668665
8774554,Mutiara Alas III,439.63277545243955,160.55895249142893,514.7520016875211
8720541,Lestari Maju,342.4558556492922,157.9746433261395,506.46670650360323
1134884,Pari 01,363.9234904259162,146.36787963205822,469.2554221003786
