IMO,name,is_asdp,voyages,hours,wait_h,fuel_t,co2_t,co2e100_t,shaft_mwh,propulsion_mwh,mean_load,v_steam,gt,built,p_mcr_kw,power_method,fuel,in_inventory,co2_per_voyage_t
7124116,Kumala,False,465,1371.78,444.13,409.63,1275.58,1632.34,1717.85,742.21,0.18,10.71,5764.0,1971.0,5401.01,dimensions,residual,True,2.74
8718562,Sms Mulawarman,False,555,1669.97,561.08,404.33,1259.09,1490.64,1773.8,587.33,0.44,10.71,3500.0,2000.0,1593.2,gt_regression,residual,False,2.27
9032006,Seira,False,424,1248.98,402.55,400.63,1247.58,1566.1,1690.35,802.46,0.23,10.71,11607.0,1994.0,5156.89,dimensions,residual,True,2.94
1047639,Kmp Eirene,False,622,1479.52,259.88,395.84,1232.64,1461.85,1741.42,688.39,0.47,10.98,3500.0,2000.0,1593.2,gt_regression,residual,False,1.98
7323308,Bsp I,False,545,1572.62,484.48,377.2,1174.6,1515.51,1574.21,749.18,0.18,10.71,5057.0,1973.0,4651.45,dimensions,residual,True,2.16
8679675,Raputra Jaya 888,False,505,1608.88,553.1,371.05,1155.43,1381.32,1616.17,470.51,0.36,10.0,3500.0,2000.0,1593.2,gt_regression,residual,False,2.29
7910917,Port Link,True,388,890.2,131.75,365.52,1138.23,1561.7,1502.81,867.49,0.16,10.98,12619.0,1981.0,8286.74,dimensions,residual,True,2.93
9857652,Zoey,False,422,1301.0,457.8,355.82,1108.03,1323.27,1555.65,631.37,0.42,10.71,6886.0,2018.0,2354.45,gt_regression,residual,True,2.63
9871646,Raputra Jaya 2888,False,460,1437.87,504.03,355.0,1105.47,1316.56,1549.17,527.22,0.39,10.47,5578.0,2018.0,1883.69,dimensions,residual,True,2.4
8666147,Portlink V,True,500,1555.4,548.6,339.33,1087.89,1202.13,1555.04,449.61,0.41,10.59,3575.0,2012.0,1420.36,dimensions,distillate,True,2.18
8613580,Elysia,False,505,1247.87,259.83,329.25,1025.29,1215.55,1448.53,558.9,0.47,10.98,3500.0,2000.0,1593.2,gt_regression,residual,False,2.03
8612885,Menggala,False,410,1328.13,477.1,311.85,971.09,1154.3,1361.11,415.91,0.38,10.11,2688.0,1987.0,1648.27,dimensions,residual,True,2.37
9819478,Wira Kencana,False,405,1286.93,330.67,276.48,860.97,1053.74,1190.01,265.12,0.2,8.33,5648.0,2016.0,1622.85,dimensions,residual,True,2.13
8611568,Labitra Karina,False,417,1331.15,188.62,267.62,833.38,1051.38,1151.12,183.27,0.1,6.77,5012.0,1989.0,1593.38,dimensions,residual,True,2.0
7125952,Titian Nusantara,False,258,818.55,284.21,190.15,592.13,708.02,829.4,246.9,0.37,10.15,3500.0,2000.0,1593.2,gt_regression,residual,False,2.3
1114389,Shanaya,False,259,764.4,247.33,186.35,580.29,687.11,817.47,274.09,0.44,10.71,3500.0,2000.0,1593.2,gt_regression,residual,False,2.24
7332660,Safira Nusantara,False,260,650.55,136.0,169.4,527.52,625.41,744.02,281.33,0.46,10.84,3500.0,2000.0,1593.2,gt_regression,residual,False,2.03
7352799,Mufidah,False,196,609.83,213.58,166.99,520.01,679.11,703.0,269.56,0.17,10.53,5584.0,1973.0,4793.34,dimensions,residual,True,2.65
8204432,Salvatore,False,200,589.57,189.85,143.72,447.53,529.92,630.44,211.65,0.44,10.71,3500.0,2000.0,1593.2,gt_regression,residual,False,2.24
8807076,Raja Basa I,False,210,695.95,88.62,137.25,427.39,537.76,590.56,90.28,0.1,6.43,3500.0,2000.0,1593.2,gt_regression,residual,False,2.04
1146552,Katya,False,108,299.93,84.95,109.77,341.83,407.97,480.08,266.79,0.44,10.75,15000.0,2000.0,3750.0,gt_regression,residual,False,3.17
8518039,Hm Baruna I,False,135,273.15,172.65,79.83,248.58,286.35,354.63,136.2,0.98,25.0,4432.0,1986.0,1627.2,dimensions,residual,True,1.84
8220060,Kirana IX,False,63,155.13,32.03,59.62,185.66,253.27,245.63,135.37,0.16,11.06,9168.0,1983.0,8169.82,dimensions,residual,True,2.95
1153361,Putra Wajo,False,66,206.07,74.08,49.27,153.42,181.59,216.16,69.84,0.44,10.71,3500.0,2000.0,1593.2,gt_regression,residual,False,2.32
1153373,New Zhima,False,52,162.93,58.97,38.91,121.18,143.42,170.74,55.03,0.44,10.71,3500.0,2000.0,1593.2,gt_regression,residual,False,2.33
6725523,Titian Murni,False,29,101.38,16.07,19.68,61.3,76.79,84.8,12.1,0.09,6.31,3500.0,2000.0,1593.2,gt_regression,residual,False,2.11
7818638,Jatra II,True,18,88.0,51.94,18.49,57.58,68.2,80.85,18.33,0.38,10.66,3902.0,1980.0,1758.81,dimensions,residual,True,3.2
8672861,Salvino,False,30,44.08,23.08,13.69,42.63,48.78,61.03,33.22,0.98,25.0,2593.0,1994.0,1785.97,dimensions,residual,True,1.42
7916040,Layar Sentosa,False,8,53.43,21.43,1.46,4.69,5.72,6.57,0.96,0.03,4.41,1029.0,2000.0,786.02,gt_regression,distillate,False,0.59
1113335,Karya Pacific 2280,False,1,5.03,1.03,0.15,0.47,0.58,0.65,0.12,0.03,4.41,1029.0,2000.0,786.02,gt_regression,distillate,False,0.47
